mlbam_id,avg_launch_speed,avg_bat_speed,avg_swing_length,recent_home_runs,recent_strikeouts,plate_appearances,home_run_rate,strikeout_rate
642731,74.71666666666667,65.31666666666666,6.466666666666666,0,0,11,0.0,0.0
643217,63.025000000000006,63.31428571428571,6.942857142857143,0,1,16,0.0,0.0625
643289,63.70000000000001,54.5,6.1,0,0,6,0.0,0.0
643376,92.56666666666666,75.7,7.033333333333334,0,0,5,0.0,0.0
643396,95.10000000000001,64.17999999999999,6.95,0,3,16,0.0,0.1875
643446,79.625,65.98888888888888,7.966666666666667,0,0,16,0.0,0.0
643565,78.22,65.11,6.87,0,2,25,0.0,0.08
645302,77.0,71.96666666666667,6.833333333333333,0,0,5,0.0,0.0
645305,91.16666666666667,69.5,7.166666666666667,0,0,7,0.0,0.0
645444,82.65,64.37142857142858,6.371428571428572,0,2,16,0.0,0.125
647304,86.525,62.71666666666667,6.566666666666666,0,1,16,0.0,0.0625
650333,82.58333333333333,59.885714285714286,5.114285714285714,0,0,14,0.0,0.0
650391,80.23333333333333,72.21428571428571,7.757142857142857,0,2,13,0.0,0.15384615384615385
650402,82.08,74.77777777777777,7.388888888888889,0,1,23,0.0,0.043478260869565216
650489,78.12222222222222,69.95,6.841666666666666,0,1,26,0.0,0.038461538461538464
650490,88.85000000000001,70.5,7.083333333333333,1,0,17,0.058823529411764705,0.0
650559,83.8,70.5375,7.825,1,1,13,0.07692307692307693,0.07692307692307693
656305,95.94,80.0,7.614285714285714,1,1,16,0.0625,0.0625
656541,87.3,76.3,7.471428571428571,1,1,20,0.05,0.05
656555,84.33333333333333,70.89,8.11,0,1,20,0.0,0.05
656577,89.89999999999999,76.12,7.5,0,0,7,0.0,0.0
656582,76.2,68.97999999999999,7.82,0,3,25,0.0,0.12
656775,77.1625,68.61111111111111,7.522222222222222,0,0,17,0.0,0.0
656811,77.38,71.48571428571428,7.642857142857143,1,1,15,0.06666666666666667,0.06666666666666667
656941,82.68333333333334,75.18571428571428,7.3999999999999995,0,0,13,0.0,0.0
