game_date,away_team,home_team,away_pitcher,home_pitcher,home_pitcher_total_pitches,home_pitcher_avg_velocity,home_pitcher_avg_spin_rate,home_pitcher_avg_extension,home_pitcher_strikeouts,home_pitcher_whiffs,home_pitcher_avg_bat_speed,home_pitcher_avg_launch_angle,home_pitcher_avg_exit_velocity,home_pitcher_avg_swing_length,home_pitcher_games_played,away_pitcher_total_pitches,away_pitcher_avg_velocity,away_pitcher_avg_spin_rate,away_pitcher_avg_extension,away_pitcher_strikeouts,away_pitcher_whiffs,away_pitcher_avg_bat_speed,away_pitcher_avg_launch_angle,away_pitcher_avg_exit_velocity,away_pitcher_avg_swing_length,away_pitcher_games_played,home_team_mlbam_id,home_team_lookup_player_name,home_team_avg_launch_speed,home_team_avg_bat_speed,home_team_avg_swing_length,home_team_total_pitches,home_team_recent_home_runs,home_team_recent_strikeouts,home_team_HR,home_team_SO,home_team_PA,home_team_AVG,home_team_SLG,away_team_mlbam_id,away_team_lookup_player_name,away_team_avg_launch_speed,away_team_avg_bat_speed,away_team_avg_swing_length,away_team_total_pitches,away_team_recent_home_runs,away_team_recent_strikeouts,away_team_HR,away_team_SO,away_team_PA,away_team_AVG,away_team_SLG,home_wins,home_losses,home_run_diff,home_streak,home_games_played,home_win_pct,away_wins,away_losses,away_run_diff,away_streak,away_games_played,away_win_pct,winner,actual_winner
2024-07-28,CUBS,ROYALS,JAVIER ASSAD,COLE RAGANS,508.0,88.76,2463.24,6.23,33.0,0.0,69.62,23.68,81.82,7.51,5.0,201.0,87.77,2063.47,6.64,7.0,0.0,70.84,19.97,84.71,7.34,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUBS,CUBS
2024-07-28,DODGERS,ASTROS,RIVER RYAN,SPENCER ARRIGHETTI,466.0,88.54,2416.77,7.03,29.0,0.0,70.15,20.13,82.38,7.39,5.0,164.0,92.44,2381.87,6.54,10.0,0.0,70.5,17.84,79.92,7.15,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGERS,DODGERS
2024-07-28,MARINERS,WHITE SOX,BRYCE MILLER,GARRETT CROCHET,347.0,94.64,2544.87,6.95,30.0,0.0,69.15,13.8,81.47,6.9,5.0,442.0,91.08,2140.83,6.34,24.0,0.0,69.97,21.54,85.29,6.97,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARINERS,MARINERS
2024-07-28,NATIONALS,CARDINALS,DJ HERZ,MILES MIKOLAS,429.0,87.66,2245.86,6.36,15.0,0.0,71.17,16.71,82.99,7.24,5.0,352.0,89.91,2332.28,6.7,26.0,0.0,67.82,24.36,81.71,6.94,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARDINALS,CARDINALS
2024-07-28,ROCKIES,GIANTS,AUSTIN GOMBER,ERIK MILLER,176.0,92.15,2202.2,6.56,14.0,0.0,65.1,24.37,80.41,7.09,10.0,461.0,85.3,2271.16,6.78,22.0,0.0,70.86,12.09,84.13,7.5,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIANTS,GIANTS
2024-07-28,PIRATES,D-BACKS,MITCH KELLER,YILBER DIAZ,,,,,,,,,,,,457.0,89.19,2518.1,6.58,22.0,0.0,69.8,18.51,83.39,7.07,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIRATES,PIRATES
2024-07-28,YANKEES,RED SOX,CARLOS RODON,TANNER HOUCK,440.0,87.47,2251.13,6.03,14.0,0.0,70.96,3.7,85.51,7.44,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YANKEES,YANKEES
2024-07-27,RANGERS,BLUE JAYS,MICHAEL LORENZEN,KEVIN GAUSMAN,524.0,91.64,2156.6,6.64,32.0,0.0,70.99,24.48,83.64,7.19,5.0,389.0,89.12,2388.4,5.86,19.0,0.0,69.79,18.96,84.62,7.13,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLUE JAYS,BLUE JAYS
2024-07-27,PADRES,ORIOLES,MICHAEL KING,DEAN KREMER,445.0,88.26,2066.08,6.23,24.0,0.0,69.38,19.93,82.86,7.25,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PADRES,PADRES
2024-07-27,REDS,RAYS,ANDREW ABBOTT,ZACK LITTELL,436.0,87.25,1827.22,6.21,23.0,0.0,70.31,20.11,83.46,7.3,5.0,575.0,88.6,2392.99,6.61,19.0,0.0,69.62,28.54,82.22,7.13,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAYS,RAYS
